GameID,Age,HoursPerWeek,TotalHours,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed,LeagueIndex
52,27.0,10.0,3000.0,0.0035151591,0.0002196974,7,0.0001098487,0.0003923169,0.0048490365,32.6677,4.7508,28,0.0013966,6,0.0,0.0,5
55,23.0,10.0,5000.0,0.0033038124,0.0002594617,4,0.0002940566,0.0004324362,0.0043070643,32.9194,4.8434,22,0.0011935,5,0.0,0.00020757,5
56,30.0,10.0,200.0,0.0011010906,0.0003355705,4,0.0002936242,0.0004614094,0.002925755,44.6475,4.043,22,0.00074455,6,0.0,0.00018876,4
57,19.0,20.0,400.0,0.0010335422,0.0002131015,1,5.32753697310659e-05,0.0005434088,0.0037825513,29.2203,4.9155,19,0.0004262,7,0.0,0.00038358,3
58,32.0,10.0,500.0,0.0011360136,0.0003273259,2,0.0,0.0013285582,0.0023682994,22.6885,9.374,15,0.0011745,4,0.0,1.9254e-05,3
60,27.0,6.0,70.0,0.0009783903,0.0002552323,2,0.0,0.0,0.0024247065,76.4405,3.0965,16,0.00037221,6,0.0,0.0,2
61,21.0,8.0,240.0,0.0008201141,0.0001685166,6,0.0,4.4937761200737e-05,0.0019884959,94.0227,4.1017,15,0.00057296,5,0.0,0.0,1
72,17.0,42.0,10000.0,0.0090397391,0.0006762401,6,0.0011635308,0.0012530331,0.0049524643,24.6117,6.6104,45,0.0022773,9,0.0001292812,0.00024862,7
77,20.0,14.0,2708.0,0.0029442751,0.0005267713,2,1.88132595853558e-05,0.0004138917,0.0053994055,52.014,3.3746,29,0.0010347,7,0.0002727923,0.00047033,4
81,18.0,24.0,800.0,0.0050539084,0.000524109,8,2.49575721273834e-05,0.0003993212,0.0035689328,24.4632,6.5664,27,0.0013103,6,0.0,0.0,4
83,16.0,16.0,6000.0,0.0016766146,0.0003185568,4,0.0,0.0008215411,0.0037723828,23.4107,7.0044,24,0.0015928,7,0.0,1.6766e-05,3
93,26.0,4.0,190.0,0.0003785385,0.000255102,3,1.64581961816985e-05,0.000164582,0.0035549704,39.6381,4.2269,19,0.00075708,7,0.0001069783,0.00026333,4
97,18.0,12.0,350.0,0.0004225216,0.0001690086,1,2.41440919407021e-05,0.0001448646,0.002885219,42.437,4.3222,16,0.00074847,7,0.0,0.00043459,3
98,38.0,6.0,1000.0,0.0049520434,5.21267723102585e-05,2,8.68779538504309e-05,3.47511815401724e-05,0.0027279678,54.8718,6.2293,21,0.0014943,5,0.0,0.0,3
100,16.0,30.0,5000.0,0.0042538602,0.0004317351,2,0.0007745835,0.0004063389,0.0045713125,36.2897,5.4361,28,0.0019809,7,0.0,0.0,5
102,17.0,16.0,1500.0,0.0023334844,0.0004304486,4,0.0,0.0002492071,0.0028998641,45.1654,4.5312,15,0.001246,6,0.0,0.00022655,5
105,28.0,8.0,2000.0,0.0006641086,0.0002213695,1,1.84474616292798e-05,0.0001475797,0.0026564345,45.7902,3.5,13,0.00066411,6,0.0,0.00029516,4
106,20.0,10.0,120.0,0.0034303443,0.0006336305,7,0.0,9.46804171764843e-05,0.0055351629,28.3636,4.7671,29,0.0027676,10,8.73973081629086e-05,0.00010196,5
118,16.0,14.0,350.0,0.0067013056,0.0007061018,5,1.33226751931788e-05,0.0004662936,0.0032374101,67.0744,4.3786,27,0.0013323,9,0.0002398082,0.0,5
127,26.0,28.0,1100.0,0.0026296126,0.0002873894,5,0.000244281,0.0003448672,0.0036498448,40.4427,4.9961,16,0.0015806,5,0.0,0.0,4
132,21.0,10.0,800.0,0.0026511485,0.000660037,8,9.90055443104814e-05,0.0006930388,0.0041472322,30.766,4.679,30,0.00082505,8,0.0,0.00051703,5
138,21.0,6.0,500.0,0.0044997946,0.0004201053,3,1.8671346950969e-05,7.46853878038762e-05,0.0038743045,21.4686,5.4892,29,0.0010083,10,0.0,0.00056014,6
139,18.0,20.0,800.0,0.00073402,0.000108298,1,2.40662302656912e-05,0.0005775895,0.0026954178,22.7265,6.7054,23,0.0019614,7,0.0,0.0,5
140,26.0,10.0,500.0,0.0028535133,0.0004929658,3,0.0,0.0,0.0046073338,51.2082,2.8663,31,0.00065413,9,0.0,0.0,5
141,17.0,14.0,500.0,0.012494649,0.0004815925,4,5.35102739726027e-05,0.0001070205,0.0043343322,27.9255,6.3395,18,0.001204,5,0.0,0.0,4
142,23.0,20.0,800.0,0.0023150778,0.0003337689,5,7.81161231678218e-05,0.0010084081,0.0034726167,36.3934,6.7587,36,0.00075276,11,0.0002840586,0.0012286,4
144,18.0,70.0,2520.0,0.0278149343,0.0007081596,10,0.0,0.0001278621,0.0056160988,34.6035,4.1629,36,0.00085569,12,8.85199464946101e-05,0.00019671,6
149,25.0,6.0,800.0,0.000875,0.0002053571,6,1.78571428571429e-05,4.46428571428571e-05,0.0035178571,46.4122,3.7944,34,0.00092857,5,0.0,0.0,5
154,25.0,20.0,700.0,0.0014061944,0.0004271983,5,0.0,0.0001245995,0.0034531862,26.7979,5.3144,22,0.0010324,4,0.0,0.0005696,5
158,18.0,10.0,160.0,0.0056666894,0.0006315286,6,0.0003755035,0.0004096402,0.0046255206,30.2222,4.9077,14,0.001007,6,0.0,0.0,6
160,19.0,6.0,150.0,0.0006723442,0.0003361721,1,0.0001540789,0.000203104,0.0027594128,53.5776,4.2284,41,0.00063733,6,7.00358583594801e-05,6.3032e-05,3
